x,y,player,team,cluters
-3.9407118927612794,16.719148862404886,Thaddeus Young,MIN,4
-3.65932708005642,15.701281236083384,Thaddeus Young,TOTAL,4
-8.87662644433442,-18.794064828906272,Rodney Stuckey,IND,5
-1.7782498209056576,-6.595882085741735,Nick Young,LAL,3
-3.9429985603777893,-5.3609237842140525,Marco Belinelli,SAS,3
-1.3240168499698282,10.575390053425764,Jason Smith,NYK,4
-2.47200523032791,3.8694391761527736,Jared Dudley,MIL,3
-6.348977007038668,4.425287042294816,Wilson Chandler,DEN,3
-4.434478729786476,-20.938185917020515,Aaron Brooks,CHI,5
-7.171682046097886,-3.060995869816205,Arron Afflalo,DEN,3
-4.047559780475325,-3.9725483966134214,Arron Afflalo,POR,3
-8.008765288132276,-3.8833508547742484,Arron Afflalo,TOTAL,3
10.77041269422833,15.717645405330119,Tiago Splitter,SAS,6
17.89370990119837,17.69391183691775,Carl Landry,SAC,6
13.611771539790093,16.09054720782858,Glen Davis,LAC,6
0.22348009418936332,20.656732851116654,Marc Gasol,MEM,2
2.5166491816067196,-18.440451492601255,Ramon Sessions,SAC,1
2.9067527487053013,-18.583563748564696,Ramon Sessions,TOTAL,1
2.389409455901238,-16.025099230751255,Ramon Sessions,WAS,1
-6.198761180734625,-17.525588920347136,CJ Watson,IND,1
1.064400580593903,4.948919563255282,Anthony Tolliver,DET,4
3.9902081951889796,-3.3238135307916328,Anthony Tolliver,PHX,0
0.6739583312679146,4.1504063764628825,Anthony Tolliver,TOTAL,4
9.966176861709972,11.854190097838634,Michael Beasley,MIA,6
-8.285289207166528,-8.271765588102971,O.J. Mayo,MIL,3
-5.631896273398786,-24.948824094913057,Derrick Rose,CHI,5
-9.492332066700223,-27.149456195734228,Russell Westbrook,OKC,5
0.08716136762053885,13.93086222927576,Kevin Love,CLE,4
-6.370014292528825,-2.2665884675091563,Danilo Gallinari,DEN,3
-9.43697087216538,-6.691274367968574,Eric Gordon,NOP,3
-5.867068645008476,-23.658766067047807,D.J. Augustin,DET,5
-2.536854646431631,-14.909356874994163,D.J. Augustin,OKC,1
-5.441559150671704,-22.363731146101532,D.J. Augustin,TOTAL,5
4.900199874762321,22.230899823524858,Brook Lopez,BKN,2
-3.1700175093479164,-24.10839614268157,Jerryd Bayless,MIL,5
6.853572396554712,24.516695636113784,Jason Thompson,SAC,2
13.75669154660813,22.782853152696173,Robin Lopez,POR,2
18.975976785275673,18.20717190845485,Marreese Speights,GSW,6
4.173350513428584,24.058059978984218,Roy Hibbert,IND,2
15.199037998420305,14.111530729500203,JaVale McGee,TOTAL,6
6.837966375806872,27.486695780310082,JJ Hickson,DEN,2
17.619111787545272,19.560198278110594,Alexis Ajinca,NOP,6
1.3132101289945513,9.179500093961634,Ryan Anderson,NOP,4
-8.700589674359248,-5.443088034377573,Courtney Lee,MEM,3
11.15822040554505,24.791657003210197,Kosta Koufos,MEM,2
1.1737907785300448,14.079899268023219,Serge Ibaka,OKC,4
-10.1020309300155,2.088816560344079,Nicolas Batum,POR,3
-5.91349982583843,-23.239696734942537,George Hill,IND,5
2.950879696372828,9.877362915008769,Darrell Arthur,DEN,4
12.145501894828953,21.456816787955873,Nikola Pekovic,MIN,2
10.162693319442228,16.217366024022354,Joey Dorsey,HOU,6
-4.96563750524152,-27.190658103131245,Mario Chalmers,MIA,5
4.8991623443907155,26.919277220152175,DeAndre Jordan,LAC,2
6.294210717956312,28.287729854637327,Omer Asik,NOP,2
-2.7278866005940614,12.098643601105483,Luc Mbah a Moute,PHI,4
-11.068094645936242,-23.480263943756928,Goran Dragic,MIA,5
-2.660032325159145,-26.125605094159873,Goran Dragic,PHX,5
-3.3135982450784347,-27.362313396874733,Goran Dragic,TOTAL,5
